propertyValue;propertyGroup;propertyName;AkcesoriumAKP:AKP;AkcesoriumMarkiza:AMW;AkcesoriumMarkiza:AMZ;AkcesoriumMarkiza:AMZ-1;AkcesoriumMoskitiera:AMO;AkcesoriumRamaDyst:PGD150;AkcesoriumRamaDyst:PGD300;AkcesoriumRamaDyst:PGD450;AkcesoriumRoletaW:D12T;AkcesoriumRoletaW:D12TW;AkcesoriumRoletaW:D12Z;AkcesoriumRoletaW:D12ZW;AkcesoriumRoletaW:D33T;AkcesoriumRoletaW:D33TW;AkcesoriumRoletaW:D33Z;AkcesoriumRoletaW:D33ZW;AkcesoriumRoletaW:D37T;AkcesoriumRoletaW:D37TW;AkcesoriumRoletaW:D37Z;AkcesoriumRoletaW:D37ZW;AkcesoriumRoletaW:P40T;AkcesoriumRoletaW:P40TW;AkcesoriumRoletaW:P50E ZK;AkcesoriumRoletaW:P50E T;AkcesoriumRoletaW:P50E Z;AkcesoriumRoletaW:P50K ZK;AkcesoriumRoletaW:P50K T;AkcesoriumRoletaW:P50K Z;AkcesoriumRoletaW:P50E K;AkcesoriumRoletaZ:ARZE;AkcesoriumRoletaZ:ARZE1;AkcesoriumRoletaZ:ARZS;AkcesoriumRoletaZ:ARZS1;AkcesoriumRoletaZ:RZE;AkcesoriumRoletaZ:RZE1;AkcesoriumRoletaZ:RZS1;AkcesoriumUTB:UTB
Akcesorium:Wewnętrzne;accessoryType;typ;null;null;null;null;0;null;null;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null
Akcesorium:Zewnętrzne;accessoryType;typ;null;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;0;0;0;0;0;0;0;null
Akcesorium:Montażowe;accessoryType;typ;0;null;null;null;null;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;0
Akcesorium:Automatyka;accessoryType;typ;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Akcesorium:Pozostałe;accessoryType;typ;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
AkcesoriumRoletaW:D37;accessoryKind;rodzaj;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;0;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
AkcesoriumRoletaW:D33;accessoryKind;rodzaj;null;null;null;null;null;null;null;null;null;null;null;null;0;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
AkcesoriumRoletaW:D12;accessoryKind;rodzaj;null;null;null;null;null;null;null;null;0;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
AkcesoriumRoletaW:P40;accessoryKind;rodzaj;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
AkcesoriumRoletaW:P50E;accessoryKind;rodzaj;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;0;0;0;null;null;null;0;null;null;null;null;null;null;null;null
AkcesoriumRoletaW:P50K;accessoryKind;rodzaj;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;0;0;0;null;null;null;null;null;null;null;null;null
AkcesoriumMoskitiera:AMO;accessoryKind;rodzaj;null;null;null;null;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
AkcesoriumRoletaZ:RZE;accessoryKind;rodzaj;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;0;0;null;null
AkcesoriumRoletaZ:RZS;accessoryKind;rodzaj;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;0;null
AkcesoriumMarkiza:AMZ;accessoryKind;rodzaj;null;null;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
AkcesoriumMarkiza:AMW;accessoryKind;rodzaj;null;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
AkcesoriumAKP:AKP;accessoryKind;rodzaj;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
AkcesoriumUTB:UTB;accessoryKind;rodzaj;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;0
AkcesoriumRamaDyst:PF;accessoryKind;rodzaj;null;null;null;null;null;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
AkcesoriumRoletaZ:ARZE;accessoryKind;rodzaj;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null
AkcesoriumRoletaZ:ARZE1;accessoryKind;rodzaj;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;0;null;null;null;null;null;null
AkcesoriumRoletaZ:ARZS;accessoryKind;rodzaj;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;0;null;null;null;null;null
AkcesoriumRoletaZ:ARZS1;accessoryKind;rodzaj;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;0;null;null;null;null
Transparentna;material;typTkaniny;null;null;null;null;null;null;null;null;0;0;null;null;0;0;null;null;0;0;null;null;0;0;null;0;null;null;0;null;0;null;null;null;null;null;null;null;null
Zaciemniająca;material;typTkaniny;null;0;0;0;null;null;null;null;null;null;0;0;null;null;0;0;null;null;0;0;null;null;null;null;0;null;null;0;0;null;null;null;null;null;null;null;null
