propertyValue;propertyGroup;propertyName;exclusions;ISOV;ISOM
DrewnoSosna;material;stolarkaMaterial;10;0;0
PVC;material;stolarkaMaterial;20;null;null
Okno:Obrotowe;openingType;otwieranie;;0;0
Okno:Uchylno-przesuwne;openingType;otwieranie;;null;null
Okno:NieotwieraneFIP;openingType;otwieranie;;null;null
KolankoDrewno:NieotwieraneFIP;openingType;otwieranie;20;null;null
KolankoDrewno:Uchylne;openingType;otwieranie;20;null;null
KolankoPVC:NieotwieraneFIX;openingType;otwieranie;10;null;null
KolankoPVC:Uchylne;openingType;otwieranie;10;null;null
KolankoPVC:UchylnoRozwierneLewe;openingType;otwieranie;10;null;null
KolankoPVC:UchylnoRozwiernePrawe;openingType;otwieranie;10;null;null
Okno:Elektryczne;openingType;otwieranie;;null;null
Okno:Wysokoosiowe;openingType;otwieranie;;null;null
maxSzerokosc;dimensions;szerokosc;;134;134
minSzerokosc;dimensions;szerokosc;;55;55
maxWysokosc;dimensions;wysokosc;;160;160
minWysokosc;dimensions;wysokosc;;78;78
stalaWysokosc;dimensions;wysokosc;;FALSE;FALSE
Drewno:Bezbarwne;innerColor;stolarkaKolor;20;0;0
Drewno:Biały9003;innerColor;stolarkaKolor;20;4.50;4.50
PVC:Biały9016;innerColor;stolarkaKolor;10;4.50;4.50
Aluminium;outerMaterial;oblachowanieMaterial;30;0;0
Miedź;outerMaterial;oblachowanieMaterial;40;8;8
TytanCynk;outerMaterial;oblachowanieMaterial;40;15;15
Aluminium:Półmat;outerColorFinish;oblachowanieFinisz;40;0;0
Aluminium:Mat;outerColorFinish;oblachowanieFinisz;40;1.50;1.50
Aluminium:Połysk;outerColorFinish;oblachowanieFinisz;40;1.50;1.50
Miedż:Natur;outerColorFinish;oblachowanieFinisz;30;;
TytanCynk:Natur;outerColorFinish;oblachowanieFinisz;30;;
Aluminium:RAL7022;outerColor;oblachowanieKolor;40;4.50;4.50
Miedż:Natur;outerColor;oblachowanieKolor;30;;
TytanCynk:Natur;outerColor;oblachowanieKolor;30;;
dwuszybowy;glazing;pakietSzybowy;;3.40;3.40
trzyszybowy;glazing;pakietSzybowy;;4.60;4.60
trzyszybowyKrypton;glazing;pakietSzybowy;;4.60;4.60
zewnetrznaHartowana;coats;pakietSzybowy;;0;0
wewnetrznaHartowana;coats;pakietSzybowy;50;200;200
sunGuard;coats;pakietSzybowy;60;300;300
bioClean;coats;pakietSzybowy;60;400;400
matowa;coats;pakietSzybowy;;500;500
redukcjaHalasu;coats;pakietSzybowy;;600;600
laminowanaP1;coats;pakietSzybowy;50;700;700
laminowanaP2;coats;pakietSzybowy;50;800;800
laminowanaP4;coats;pakietSzybowy;50;900;900
Okno:ExtraSecure;handle;zamkniecieTyp;;1000;1000
Okno:Uno;handle;zamkniecieTyp;;0;0
Okno:SiłownikSolarny;handle;zamkniecieTyp;;250;250
Okno:RAL7048;handleColor;zamkniecieKolor;;0;0
Okno:RAL9016;handleColor;zamkniecieKolor;;0;0
NawiewnikNeoVent;ventilation;wentylacja;;0;null
MaskownicaNeoVent;ventilation;wentylacja;;null;0
Brak;ventilation;wentylacja;;null;null
Okno:Zasuwka;extras;okucia;;null;null
TRUE;extras;akp;;125;125
utb;extras;dodatki;;175;175
glazingCorectionWidth;technical;szybaWymiarTyp;;145;145
glazingCorectionHeight;technical;szybaWymiarTyp;;142;142
maxSurfaceTriple;technical;szerokoscxwysokosc;;1.876;1.876
