propertyName;propertyGroup;opis dopłaty;exclusions;ISOV;ISOM
model;;;;ISOV;ISOM
materialWood;material;materiał wykonania - drewno;10;0;0
materialPVC;material;materiał wykonania - PVC;;null;null
centrePivot;openingType;obrotowe;;0;0
topHung;openingType;uchylno-przesuwne;;null;null
fix;openingType;fix;;null;null
lShapedX;openingType;kolankowe;;null;null
lShapedU;openingType;kolankowe;;null;null
lShapedL;openingType;kolankowe;10;null;null
lShapedP;openingType;kolankowe;10;null;null
electric;openingType;elektryczne;;null;null
highAxle;openingType;wysokoosiowe;;null;null
maxWidth;dimensions;szerokość maksymalna;;134;134
minWidth;dimensions;szerokość minimalna;;55;55
maxHeight;dimensions;wysokość maksymalna;;160;160
minHeight;dimensions;wysokość minimalna;;78;78
fixedHeight;dimensions;tablica dostępnych wysokości;;x;x
innerColorNatural;innerColor;drewniany kolor stolarki;;0;0
innerColorWoodWhite;innerColor;biały kolor stolarki;;4.50;4.50
innerColorWhite;innerColor;biały kolor stolarki;10;4.50;4.50
aluminium;outerMaterial;;;0;0
copper;outerMaterial;;;8;8
titaniumZinc ;outerMaterial;;;15;15
semiMatFinish;outerColorFinish;;;0;0
matFinish;outerColorFinish;;;1.50;1.50
glossFinish;outerColorFinish;;;1.50;1.50
outerColor;outerColor;lista dostępnych kolorów zewnętrznych;;4.50;4.50
doubleGlazing;glazing;pakiet dwuszybowy - dopłatra do 1cm obwodu okna bez szyby;;3.40;3.40
tripleGlazing;glazing;pakiet trzyszybowy - dopłatra do 1cm obwodu okna bez szyby;;4.60;4.60
tripleGlazingKrypton;glazing;pakiet trzyszybowy z kryptonem - dopłatra do 1cm obwodu okna bez szyby;;4.60;4.60
toughenedOuter;coats;zewnętrzna szyba hartowana;;0;0
toughenedInner;coats;wewnętrzna szyba hartowana;;200;200
sunGuard;coats;powłoka SunGuard;;300;300
bioClean;coats;powłoka BioClean;;400;400
mat;coats;szyba matowa;;500;500
soundReduction;coats;dodatkowa redukcja hałasu;;600;600
safetyLaminateP1;coats;szyba laminowana P1;;700;700
safetyLaminateP2;coats;szyba laminowana P2;;800;800
safetyLaminateP4;coats;szyba laminowana P3;;900;900
handleSecureWhite;handle;biała klamka ExtraSecure;;1000;1000
handleUnoWhite;handle;biała klamka UNO;;0;0
handleSecure7048;handle;RAL7048 klamka ExtraSecure;;0;0
handleUno7048;handle;RAL7048 klamka UNO;;0;0
solarMotor;handle;silnik solarny;;250;250
ventilationNeoVent;ventilation;nawiewnik NeoVent;;0;null
ventilationNeoCover;ventilation;maskownica;;null;0
noVentilation;ventilation;brak wentylacji;;null;null
hardware;extras;dodatkowe okucie;;null;null
AKP;extras;kołnierz AKP;;125;125
UTB;extras;opaska UTB;;175;175
glazingCorectionWidth;technical;korekta szerokości dla szyb;;145;145
glazingCorectionHeight;technical;korekta wysokości dla szyb;;142;142
maxSurfaceTriple;technical;parametr techniczny ograniczający zastosowanie pakietu 3-szybowego od konkretenej powierzchni - powierzchnia całego okna = szerokość x wysokość;;1.876;1.876
