propertyValue;propertyGroup;propertyName;Okno:ISOV;Okno:ISOM
DrewnoSosna;material;stolarkaMaterial;0;0
PVC;material;stolarkaMaterial;null;null
Okno:Obrotowe;openingType;otwieranie;0;0
Okno:Uchylno-przesuwne;openingType;otwieranie;null;null
Okno:NieotwieraneFIP;openingType;otwieranie;null;null
KolankoDrewno:NieotwieraneFIP;openingType;otwieranie;null;null
KolankoDrewno:Uchylne;openingType;otwieranie;null;null
KolankoPVC:NieotwieraneFIX;openingType;otwieranie;null;null
KolankoPVC:Uchylne;openingType;otwieranie;null;null
KolankoPVC:UchylnoRozwierneLewe;openingType;otwieranie;null;null
KolankoPVC:UchylnoRozwiernePrawe;openingType;otwieranie;null;null
Okno:ElektrycznePrzełącznik;openingType;otwieranie;null;null
Okno:ElektrycznePilot;openingType;otwieranie;null;null
Okno:Wysokoosiowe;openingType;otwieranie;null;null
maxSzerokosc;dimensions;szerokosc;134;134
minSzerokosc;dimensions;szerokosc;55;55
maxWysokosc;dimensions;wysokosc;160;160
minWysokosc;dimensions;wysokosc;78;78
stalaWysokosc;dimensions;wysokosc;FALSE;FALSE
Drewno:Bezbarwne;innerColor;stolarkaKolor;0;0
Drewno:Biały9003;innerColor;stolarkaKolor;4,50;4,50
PVC:Biały9016;innerColor;stolarkaKolor;0,00;0,00
Aluminium;outerMaterial;oblachowanieMaterial;0;0
Miedź;outerMaterial;oblachowanieMaterial;8;8
TytanCynk;outerMaterial;oblachowanieMaterial;15;15
Aluminium:Półmat;outerColorFinish;oblachowanieFinisz;0;0
Aluminium:Mat;outerColorFinish;oblachowanieFinisz;3,50;3,50
Aluminium:Połysk;outerColorFinish;oblachowanieFinisz;3,00;3,00
MiedźITytanCynk:Natur;outerColorFinish;oblachowanieFinisz;;
Aluminium:RAL7022;outerColor;oblachowanieKolor;0,00;0,00
Aluminium:RAL7024;outerColor;oblachowanieKolor;4,50;4,50
Aluminium:RAL7016;outerColor;oblachowanieKolor;4,50;4,50
Aluminium:RAL9005;outerColor;oblachowanieKolor;4,50;4,50
Aluminium:RAL8016;outerColor;oblachowanieKolor;4,50;4,50
Miedź:Natur;outerColor;oblachowanieKolor;4,50;4,50
TytanCynk:Natur;outerColor;oblachowanieKolor;4,50;4,50
dwuszybowy;glazing;pakietSzybowy;1,20;1,20
trzyszybowy;glazing;pakietSzybowy;3,20;3,20
trzyszybowyKrypton;glazing;pakietSzybowy;5,00;5,00
zewnetrznaHartowana;coats;pakietSzybowy;0;0
wewnetrznaHartowana;coats;pakietSzybowy;200;200
sunGuard;coats;pakietSzybowy;300;300
bioClean;coats;pakietSzybowy;400;400
matowa;coats;pakietSzybowy;500;500
redukcjaHalasu;coats;pakietSzybowy;600;600
laminowanaP1;coats;pakietSzybowy;700;700
laminowanaP2;coats;pakietSzybowy;800;800
laminowanaP4;coats;pakietSzybowy;900;900
Okno:ExtraSecure;handle;zamkniecieTyp;1000;1000
Okno:Uno;handle;zamkniecieTyp;0;0
Okno:SiłownikSolarny;handle;zamkniecieTyp;250;250
Okno:RAL7048;handleColor;zamkniecieKolor;0;0
Okno:RAL9016;handleColor;zamkniecieKolor;0;0
NawiewnikNeoVent;ventilation;wentylacja;0;null
MaskownicaNeoVent;ventilation;wentylacja;null;0
Brak;ventilation;wentylacja;null;null
Okno:Zasuwka;extras;okucia;0;0
akp:TRUE;extras;akp;125;125
utb:TRUE;extras;dodatki;175;175
glazingCorectionWidth;technical;szybaWymiarTyp;145;145
glazingCorectionHeight;technical;szybaWymiarTyp;142;142
maxSurfaceTriple;technical;szerokoscxwysokosc;1.876;1.876
