model;E01;E02;E03;E04;E05;E06;E08;E14;E21;I01;I02;I03;I04;I05;I06;I22;I23;I24;N22;N23;N24;A01;A04;A192
DrewnoSosna;TAK;TAK;TAK;TAK;TAK;TAK;TAK;TAK;TAK;TAK;TAK;TAK;TAK;TAK;TAK;TAK;TAK;TAK;NIE;NIE;NIE;NIE;NIE;NIE
PVC;TAK;TAK;TAK;TAK;TAK;TAK;TAK;TAK;TAK;NIE;NIE;NIE;NIE;NIE;NIE;NIE;NIE;NIE;TAK;TAK;TAK;TAK;TAK;TAK
dwuszybowy;TAK;TAK;TAK;;;;;;;;;;;;;;;;;;;;;
trzyszybowy;NIE;NIE;NIE;;;;;;;;;;;;;;;;;;;;;
trzyszybowyKrypton;NIE;NIE;NIE;;;;;;;;;;;;;;;;;;;;;
zewnetrznaHartowana;NIE;TAK;TAK;;;;;;;;;;;;;;;;;;;;;
wewnetrznaHartowana;NIE;NIE;NIE;;;;;;;;;;;;;;;;;;;;;
sunGuard;NIE;NIE;NIE;;;;;;;;;;;;;;;;;;;;;
bioClean;NIE;NIE;TAK;;;;;;;;;;;;;;;;;;;;;
matowa;NIE;NIE;NIE;;;;;;;;;;;;;;;;;;;;;
redukcjaHalasu;NIE;NIE;NIE;;;;;;;;;;;;;;;;;;;;;
laminowanaP1;NIE;NIE;NIE;;;;;;;;;;;;;;;;;;;;;
laminowanaP2;NIE;NIE;NIE;;;;;;;;;;;;;;;;;;;;;
laminowanaP4;NIE;NIE;NIE;;;;;;;;;;;;;;;;;;;;;
ug;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;
gazSzlachetny;argon;argon;argon;argon;argon;argon;argon;argon;argon;krypton;krypton;krypton;krypton;krypton;argon;argon;argon;argon;argon;argon;argon;argon;argon;argon
zastosowanie;okno;okno;okno;okno;okno;okno;okno;okno;okno;okno;okno;okno;okno;okno;okno;okno;okno;okno;okno;okno;okno;płaski;płaski;pionowe
